,region,age,contents,year,value
496,Kristiansand,67-79 years,Living alone,2019,2948
497,Kristiansand,67-79 years,Living with others,2019,7580
498,Kristiansand,80 years or older,Living alone,2019,2070
499,Kristiansand,80 years or older,Living with others,2019,1889
500,Lindesnes,67-79 years,Living alone,2019,723
501,Lindesnes,67-79 years,Living with others,2019,1997
502,Lindesnes,80 years or older,Living alone,2019,511
503,Lindesnes,80 years or older,Living with others,2019,431
504,Farsund,67-79 years,Living alone,2019,364
505,Farsund,67-79 years,Living with others,2019,926
506,Farsund,80 years or older,Living alone,2019,235
507,Farsund,80 years or older,Living with others,2019,189
508,Flekkefjord,67-79 years,Living alone,2019,298
509,Flekkefjord,67-79 years,Living with others,2019,827
510,Flekkefjord,80 years or older,Living alone,2019,225
511,Flekkefjord,80 years or older,Living with others,2019,228
512,Gjerstad,67-79 years,Living alone,2019,116
513,Gjerstad,67-79 years,Living with others,2019,230
514,Gjerstad,80 years or older,Living alone,2019,60
515,Gjerstad,80 years or older,Living with others,2019,57
516,Vegårshei,67-79 years,Living alone,2019,60
517,Vegårshei,67-79 years,Living with others,2019,146
518,Vegårshei,80 years or older,Living alone,2019,58
519,Vegårshei,80 years or older,Living with others,2019,39
520,Tvedestrand,67-79 years,Living alone,2019,223
521,Tvedestrand,67-79 years,Living with others,2019,617
522,Tvedestrand,80 years or older,Living alone,2019,151
523,Tvedestrand,80 years or older,Living with others,2019,111
524,Froland,67-79 years,Living alone,2019,148
525,Froland,67-79 years,Living with others,2019,434
526,Froland,80 years or older,Living alone,2019,92
527,Froland,80 years or older,Living with others,2019,72
528,Lillesand,67-79 years,Living alone,2019,301
529,Lillesand,67-79 years,Living with others,2019,964
530,Lillesand,80 years or older,Living alone,2019,196
531,Lillesand,80 years or older,Living with others,2019,189
532,Birkenes,67-79 years,Living alone,2019,135
533,Birkenes,67-79 years,Living with others,2019,428
534,Birkenes,80 years or older,Living alone,2019,90
535,Birkenes,80 years or older,Living with others,2019,70
536,Åmli,67-79 years,Living alone,2019,88
537,Åmli,67-79 years,Living with others,2019,156
538,Åmli,80 years or older,Living alone,2019,53
539,Åmli,80 years or older,Living with others,2019,38
540,Iveland,67-79 years,Living alone,2019,26
541,Iveland,67-79 years,Living with others,2019,96
542,Iveland,80 years or older,Living alone,2019,17
543,Iveland,80 years or older,Living with others,2019,13
544,Evje og Hornnes,67-79 years,Living alone,2019,121
545,Evje og Hornnes,67-79 years,Living with others,2019,341
546,Evje og Hornnes,80 years or older,Living alone,2019,83
547,Evje og Hornnes,80 years or older,Living with others,2019,69
548,Bygland,67-79 years,Living alone,2019,50
549,Bygland,67-79 years,Living with others,2019,124
550,Bygland,80 years or older,Living alone,2019,27
551,Bygland,80 years or older,Living with others,2019,34
552,Valle,67-79 years,Living alone,2019,41
553,Valle,67-79 years,Living with others,2019,125
554,Valle,80 years or older,Living alone,2019,30
555,Valle,80 years or older,Living with others,2019,18
556,Bykle,67-79 years,Living alone,2019,25
557,Bykle,67-79 years,Living with others,2019,66
558,Bykle,80 years or older,Living alone,2019,16
559,Bykle,80 years or older,Living with others,2019,6
560,Vennesla,67-79 years,Living alone,2019,340
561,Vennesla,67-79 years,Living with others,2019,1054
562,Vennesla,80 years or older,Living alone,2019,257
563,Vennesla,80 years or older,Living with others,2019,227
564,Åseral,67-79 years,Living alone,2019,32
565,Åseral,67-79 years,Living with others,2019,50
566,Åseral,80 years or older,Living alone,2019,30
567,Åseral,80 years or older,Living with others,2019,22
568,Lyngdal,67-79 years,Living alone,2019,267
569,Lyngdal,67-79 years,Living with others,2019,832
570,Lyngdal,80 years or older,Living alone,2019,241
571,Lyngdal,80 years or older,Living with others,2019,164
572,Hægebostad,67-79 years,Living alone,2019,47
